customer_id,customer_name,customer_email,customer_country,customer_birth_date,customer_registration_date
b0efdc8d-7ec3-4826-b90d-4161b3acc91c,David Reyes,davidreyes@outlook.com,Spain,1955-03-22,2024-03-03
4a9a9e19-ba1c-40b1-9a91-e24538057f9c,Jennifer Gonzalez,jennifer.gonzalez@yahoo.com,Canada,1995-01-07,2026-01-06
8b28d5d7-bd70-4613-a814-9ce215449c42,Kevin Cannon,kevincannon@outlook.com,Brazil,1970-03-26,2023-11-07
29ae63aa-3a5c-4b90-bedb-73d82a1a16c7,Timothy Davis,timothy.davis@gmail.com,Spain,1969-07-18,2024-09-29
0214860e-ede4-4824-90a8-c82a139fdb0e,Jerry Carr,jerrycarr@hotmail.com,Brazil,1967-02-12,2024-06-04
5f0f8363-a8d3-4ea4-8428-e5c2d65adfd0,Jeremy Dougherty,jeremydougherty@yahoo.com,Brazil,1988-02-14,2026-01-20
40b886d4-c344-4227-8a68-6cffc8438308,Ian Ferguson,ianferguson@yahoo.com,United States,1963-07-15,2025-12-27
166dd835-b6f1-4711-94b0-ff521d86bf23,Arthur Daniels,arthur.daniels@outlook.com,Canada,2004-03-19,2023-08-28
520d5eee-c61c-442d-950c-7391653eb701,Daisy Ortega,daisyortega@hotmail.com,Brazil,1974-11-23,2026-02-22
c51e0759-45c5-4296-a4e6-5e13e6042c35,Alexander Henry,alexander.henry@hotmail.com,United States,2003-11-05,2026-02-24
e02e9d0a-386b-4c1f-834f-9980532c8e69,Mr. Daniel Ellis,mr._daniel_ellis@hotmail.com,France,2006-01-21,2023-10-10
f07fc228-ae51-42d3-bb22-9da0e01de2ea,Tyler Gomez,tyler_gomez@outlook.com,Brazil,1993-12-24,2023-12-11
14ea7ab0-4d1b-47e0-b928-591fc1436c6f,Haley Anderson,haley.anderson@gmail.com,United States,2003-03-09,2024-05-25
553c6822-6ce9-44c1-9dc7-da2d0f032bbd,Allen Jones,allen_jones@hotmail.com,Brazil,1987-08-04,2024-05-18
d5b04efd-276b-4ab3-b5b2-2abbc4dbd380,Russell Fuller,russell.fuller@outlook.com,United States,1973-11-23,2023-10-07
448d8939-0dcc-41a3-af86-07e1bbc7b85c,Lauren Austin,lauren.austin@gmail.com,Brazil,2005-07-23,2026-04-11
